language,english_phrase,translation
Bengali,Inform someone of your plans,আপনার পরিকল্পনা কারওকে জানান
Tamil,Inform someone of your plans,உங்கள் திட்டங்களை யாராவது ஒருவரிடம் தெரிவிக்கவும்
Telugu,Inform someone of your plans,మీ యోజనల గురించి ఎవరికైనా తెలియజేయండి
Marathi,Inform someone of your plans,आपल्या योजना कोणाला तरी सांगा
Gujarati,Inform someone of your plans,તમારી યોજનાઓ વિશે કોઈને જાણ કરો
Kannada,Inform someone of your plans,ನಿಮ್ಮ ಯೋಜನೆಗಳನ್ನು ಯಾರಿಗಾದರೂ ತಿಳಿಸಿ
Malayalam,Inform someone of your plans,നിങ്ങളുടെ പദ്ധതിയെക്കുറിച്ച് ആരെയെങ്കിലും അറിയിക്കൂ
Punjabi,Inform someone of your plans,ਆਪਣੀਆਂ ਯੋਜਨਾਵਾਂ ਬਾਰੇ ਕਿਸੇ ਨੂੰ ਦੱਸੋ
English,Carry identification,Carry identification
Hindi,Carry identification,पहचान पत्र साथ रखें
Bengali,Carry identification,পরিচয়পত্র সঙ্গে রাখুন
Tamil,Carry identification,அடையாள அட்டை உடன் எடுத்துச் செல்லவும்
Telugu,Carry identification,పరిచయ పత్రం తీసుకెళ్ళండి
Marathi,Carry identification,ओळखपत्र सोबत ठेवा
Gujarati,Carry identification,ઓળખપત્ર સાથે રાખો
Kannada,Carry identification,ಗುರುತಿನ ಚೀಟಿಯನ್ನು ಕರೆದೊಯ್ಯಿರಿ
Malayalam,Carry identification,ഐഡന്റിഫിക്കേഷൻ കൊണ്ടുപോകുക
Punjabi,Carry identification,ਪਛਾਣ ਪੱਤਰ ਨਾਲ ਰੱਖੋ
English,Respect local customs,Respect local customs
Hindi,Respect local customs,स्थानीय रीति-रिवाजों का सम्मान करें
Bengali,Respect local customs,স্থানীয় রীতিনীতি সম্মান করুন
Tamil,Respect local customs,உள்ளூர் பழக்கவழக்கங்களை மதிக்கவும்
Telugu,Respect local customs,స్థానిక ఆచారాలను గౌరవించండి
Marathi,Respect local customs,स्थानिक प्रथांचा आदर करा
Gujarati,Respect local customs,સ્થાનિક રિવાજોનું આદર કરો
Kannada,Respect local customs,ಸ್ಥಳೀಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಗೌರವಿಸಿ
Malayalam,Respect local customs,പ്രാദേശിക ആചാരങ്ങളെ മാനിക്കുക
Punjabi,Respect local customs,ਸਥਾਨਕ ਰਿਵਾਜਾਂ ਦਾ ਆਦਰ ਕਰੋ
English,Beware of wildlife,Beware of wildlife
Hindi,Beware of wildlife,वन्यजीव से सावधान रहें
Bengali,Beware of wildlife,বন্যপ্রাণী থেকে সতর্ক থাকুন
Tamil,Beware of wildlife,விலங்குகளிலிருந்து எச்சரிக்கையுடன் இருங்கள்
Telugu,Beware of wildlife,అడవి జంతువుల పట్ల జాగ్రత్తగా ఉండండి
Marathi,Beware of wildlife,वन्यजीवांपासून सावध राहा
Gujarati,Beware of wildlife,વન્યજીવનથી સાવચેત રહો
Kannada,Beware of wildlife,ವನ್ಯಜೀವಿಗಳ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದಿರಿ
Malayalam,Beware of wildlife,വന്യജീവികളോട് ജാഗ്രത കാണിക്കുക
Punjabi,Beware of wildlife,ਜੰਗਲੀ ਜੀਵਨ ਤੋਂ ਸਾਵਧਾਨ ਰਹੋ
English,Check weather updates,Check weather updates
Hindi,Check weather updates,मौसम अपडेट जांचें
Bengali,Check weather updates,আবহাওয়া আপডেট চেক করুন
Tamil,Check weather updates,வானிலை புதுப்பிப்புகளை சரிபார்க்கவும்
Telugu,Check weather updates,వాతావరణ నవీకరణలను తనిఖీ చేయండి
Marathi,Check weather updates,हवामान अपडेट तपासा
Gujarati,Check weather updates,હવામાન અપડેટ તપાસો
Kannada,Check weather updates,ಹವಾಮಾನ ನವೀಕರಣಗಳನ್ನು ಪರಿಶೀಲಿಸಿ
Malayalam,Check weather updates,കാലാവസ്ഥാ അപ്‌ഡേറ്റുകൾ പരിശോധിക്കുക
Punjabi,Check weather updates,ਮੌਸਮ ਅੱਪਡੇਟ ਦੀ ਜਾਂਚ ਕਰੋ
English,Use licensed guides,Use licensed guides
Hindi,Use licensed guides,लाइसेंस प्राप्त गाइड का उपयोग करें
Bengali,Use licensed guides,লাইসেন্সপ্রাপ্ত গাইড ব্যবহার করুন
Tamil,Use licensed guides,உரிமம் பெற்ற வழிகாட்டிகளைப் பயன்படுத்தவும்
Telugu,Use licensed guides,లైసెన్స్ పొందిన గైడ్లను ఉపయోగించండి
Marathi,Use licensed guides,परवानाधारक मार्गदर्शक वापरा
Gujarati,Use licensed guides,લાઇસન્સ ધરાવતા માર્ગદર્શકોનો ઉપયોગ કરો
Kannada,Use licensed guides,ಪರವಾನಗಿ ಪಡೆದ ಮಾರ್ಗದರ್ಶಕರನ್ನು ಬಳಸಿ
Malayalam,Use licensed guides,ലൈസൻസ് ലഭിച്ച ഗൈഡുകൾ ഉപയോഗിക്കുക
Punjabi,Use licensed guides,ਲਾਇਸੈਂਸ ਪ੍ਰਾਪਤ ਮਾਰਗਦਰਸ਼ਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰੋ
English,Avoid isolated areas at night,Avoid isolated areas at night
Hindi,Avoid isolated areas at night,रात में अलग-थलग क्षेत्रों से बचें
Bengali,Avoid isolated areas at night,রাতে বিচ্ছিন্ন এলাকা এড়িয়ে চলুন
Tamil,Avoid isolated areas at night,இரவில் தனிமைப்படுத்தப்பட்ட பகுதிகளை தவிர்க்கவும்
Telugu,Avoid isolated areas at night,రాత్రి ఒంటరిగా ఉన్న ప్రాంతాలను నివారించండి
Marathi,Avoid isolated areas at night,रात्री वेळी निर्जन भागांपासून दूर रहा
Gujarati,Avoid isolated areas at night,રાતે એકાંત વિસ્તારોમાં જવાનું ટાળો
Kannada,Avoid isolated areas at night,ರಾತ್ರಿ ಏಕಾಂತ ಪ್ರದೇಶಗಳನ್ನು ತಪ್ಪಿಸಿ
Malayalam,Avoid isolated areas at night,രാത്രിയിൽ ഒറ്റപ്പെട്ട പ്രദേശങ്ങൾ ഒഴിവാക്കുക
Punjabi,Avoid isolated areas at night,ਰਾਤ ਨੂੰ ਇਕਾਂਤ ਖੇਤਰਾਂ ਤੋਂ ਬਚੋ
English,Call emergency services,Call emergency services
Hindi,Call emergency services,आपातकालीन सेवाओं को कॉल करें
Bengali,Call emergency services,জরুরী পরিষেবা কল করুন
Tamil,Call emergency services,அவசர சேவைகளை அழைக்கவும்
Telugu,Call emergency services,అత్యవసర సేవలను కాల్ చేయండి
Marathi,Call emergency services,आपत्कालीन सेवांना कॉल करा
Gujarati,Call emergency services,આપાતકાલીન સેવાઓને કોલ કરો
Kannada,Call emergency services,ತುರ್ತು ಸೇವೆಗಳನ್ನು ಕರೆಮಾಡಿ
Malayalam,Call emergency services,അടിയന്തര സേവനങ്ങളെ വിളിക്കുക
Punjabi,Call emergency services,ਐਮਰਜੈਂਸੀ ਸੇਵਾਵਾਂ ਨੂੰ ਕਾਲ ਕਰੋ
English,Stay on marked trails,Stay on marked trails
Hindi,Stay on marked trails,चिह्नित रास्तों पर रहें
Bengali,Stay on marked trails,চিহ্নিত পথগুলিতে থাকুন
Tamil,Stay on marked trails,குறிப்பிடப்பட்ட பாதைகளில் இருங்கள்
Telugu,Stay on marked trails,మార్క్ చేసిన మార్గాల్లో ఉండండి
Marathi,Stay on marked trails,चिन्हांकित मार्गांवर रहा
Gujarati,Stay on marked trails,ચિહ્નિત માર્ગ પર રહો
Kannada,Stay on marked trails,ಗುರುತಿಸಲಾದ ಹಾದಿಗಳಲ್ಲಿ ಇರಿ
Malayalam,Stay on marked trails,അടയാളപ്പെടുത്തിയ പാതകളിൽ തുടരുക
Punjabi,Stay on marked trails,ਨਿਰਧਾਰਤ ਟ੍ਰੇਲਾਂ ਤੇ ਰਹੋ
English,Keep valuables secure,Keep valuables secure
Hindi,Keep valuables secure,कीमती सामान सुरक्षित रखें
Bengali,Keep valuables secure,মূল্যবান জিনিসপত্র সুরক্ষিত রাখুন
Tamil,Keep valuables secure,மதிப்புள்ள பொருட்களை பாதுகாப்பாக வைத்திருக்கவும்
Telugu,Keep valuables secure,విలువైన వస్తువులను భద్రపరచండి
Marathi,Keep valuables secure,किंमती वस्तू सुरक्षित ठेवा
Gujarati,Keep valuables secure,કિંમતી વસ્તુઓ સુરક્ષિત રાખો
Kannada,Keep valuables secure,ಮೊತ್ತದ ವಸ್ತುಗಳನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇಡಿ
Malayalam,Keep valuables secure,വിലപ്പെട്ട വസ്തുക്കൾ സുരക്ഷിതമായി സൂക്ഷിക്കുക
Punjabi,Keep valuables secure,ਕੀਮਤੀ ਸਮਾਨ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖੋ
English,Inform someone of your plans,Inform someone of your plans
Hindi,Inform someone of your plans,अपनी योजनाओं के बारे में किसी को बताएं
Bengali,Inform someone of your plans,আপনার পরিকল্পনা কারওকে জানান
Tamil,Inform someone of your plans,உங்கள் திட்டங்களை யாராவது ஒருவரிடம் தெரிவிக்கவும்
Telugu,Inform someone of your plans,మీ యోజనల గురించి ఎవరికైనా తెలియజేయండి
Marathi,Inform someone of your plans,आपल्या योजना कोणाला तरी सांगा
Gujarati,Inform someone of your plans,તમારી યોજનાઓ વિશે કોઈને જાણ કરો
Kannada,Inform someone of your plans,ನಿಮ್ಮ ಯೋಜನೆಗಳನ್ನು ಯಾರಿಗಾದರೂ ತಿಳಿಸಿ
Malayalam,Inform someone of your plans,നിങ്ങളുടെ പദ്ധതിയെക്കുറിച്ച് ആരെയെങ്കിലും അറിയിക്കൂ
Punjabi,Inform someone of your plans,ਆਪਣੀਆਂ ਯੋਜਨਾਵਾਂ ਬਾਰੇ ਕਿਸੇ ਨੂੰ ਦੱਸੋ
English,Carry identification,Carry identification
Hindi,Carry identification,पहचान पत्र साथ रखें
Bengali,Carry identification,পরিচয়পত্র সঙ্গে রাখুন
Tamil,Carry identification,அடையாள அட்டை உடன் எடுத்துச் செல்லவும்
Telugu,Carry identification,పరిచయ పత్రం తీసుకెళ్ళండి
Marathi,Carry identification,ओळखपत्र सोबत ठेवा
Gujarati,Carry identification,ઓળખપત્ર સાથે રાખો
Kannada,Carry identification,ಗುರುತಿನ ಚೀಟಿಯನ್ನು ಕರೆದೊಯ್ಯಿರಿ
Malayalam,Carry identification,ഐഡന്റിഫിക്കേഷൻ കൊണ്ടുപോകുക
Punjabi,Carry identification,ਪਛਾਣ ਪੱਤਰ ਨਾਲ ਰੱਖੋ
English,Respect local customs,Respect local customs
Hindi,Respect local customs,स्थानीय रीति-रिवाजों का सम्मान करें
Bengali,Respect local customs,স্থানীয় রীতিনীতি সম্মান করুন
Tamil,Respect local customs,உள்ளூர் பழக்கவழக்கங்களை மதிக்கவும்
Telugu,Respect local customs,స్థానిక ఆచారాలను గౌరవించండి
Marathi,Respect local customs,स्थानिक प्रथांचा आदर करा
Gujarati,Respect local customs,સ્થાનિક રિવાજોનું આદર કરો
Kannada,Respect local customs,ಸ್ಥಳೀಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಗೌರವಿಸಿ
Malayalam,Respect local customs,പ്രാദേശിക ആചാരങ്ങളെ മാനിക്കുക
Punjabi,Respect local customs,ਸਥਾਨਕ ਰਿਵਾਜਾਂ ਦਾ ਆਦਰ ਕਰੋ
English,Beware of wildlife,Beware of wildlife
Hindi,Beware of wildlife,वन्यजीव से सावधान रहें
Bengali,Beware of wildlife,বন্যপ্রাণী থেকে সতর্ক থাকুন
Tamil,Beware of wildlife,விலங்குகளிலிருந்து எச்சரிக்கையுடன் இருங்கள்
Telugu,Beware of wildlife,అడవి జంతువుల పట్ల జాగ్రత్తగా ఉండండి
Marathi,Beware of wildlife,वन्यजीवांपासून सावध राहा
Gujarati,Beware of wildlife,વન્યજીવનથી સાવચેત રહો
Kannada,Beware of wildlife,ವನ್ಯಜೀವಿಗಳ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದಿರಿ
Malayalam,Beware of wildlife,വന്യജീവികളോട് ജാഗ്രത കാണിക്കുക
Punjabi,Beware of wildlife,ਜੰਗਲੀ ਜੀਵਨ ਤੋਂ ਸਾਵਧਾਨ ਰਹੋ
English,Check weather updates,Check weather updates
Hindi,Check weather updates,मौसम अपडेट जांचें
Bengali,Check weather updates,আবহাওয়া আপডেট চেক করুন
Tamil,Check weather updates,வானிலை புதுப்பிப்புகளை சரிபார்க்கவும்
Telugu,Check weather updates,వాతావరణ నవీకరణలను తనిఖీ చేయండి
Marathi,Check weather updates,हवामान अपडेट तपासा
Gujarati,Check weather updates,હવામાન અપડેટ તપાસો
Kannada,Check weather updates,ಹವಾಮಾನ ನವೀಕರಣಗಳನ್ನು ಪರಿಶೀಲಿಸಿ
Malayalam,Check weather updates,കാലാവസ്ഥാ അപ്‌ഡേറ്റുകൾ പരിശോധിക്കുക
Punjabi,Check weather updates,ਮੌਸਮ ਅੱਪਡੇਟ ਦੀ ਜਾਂਚ ਕਰੋ
English,Use licensed guides,Use licensed guides
Hindi,Use licensed guides,लाइसेंस प्राप्त गाइड का उपयोग करें
Bengali,Use licensed guides,লাইসেন্সপ্রাপ্ত গাইড ব্যবহার করুন
Tamil,Use licensed guides,உரிமம் பெற்ற வழிகாட்டிகளைப் பயன்படுத்தவும்
Telugu,Use licensed guides,లైసెన్స్ పొందిన గైడ్లను ఉపయోగించండి
Marathi,Use licensed guides,परवानाधारक मार्गदर्शक वापरा
Gujarati,Use licensed guides,લાઇસન્સ ધરાવતા માર્ગદર્શકોનો ઉપયોગ કરો
Kannada,Use licensed guides,ಪರವಾನಗಿ ಪಡೆದ ಮಾರ್ಗದರ್ಶಕರನ್ನು ಬಳಸಿ
Malayalam,Use licensed guides,ലൈസൻസ് ലഭിച്ച ഗൈഡുകൾ ഉപയോഗിക്കുക
Punjabi,Use licensed guides,ਲਾਇਸੈਂਸ ਪ੍ਰਾਪਤ ਮਾਰਗਦਰਸ਼ਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰੋ
English,Avoid isolated areas at night,Avoid isolated areas at night
Hindi,Avoid isolated areas at night,रात में अलग-थलग क्षेत्रों से बचें
Bengali,Avoid isolated areas at night,রাতে বিচ্ছিন্ন এলাকা এড়িয়ে চলুন
Tamil,Avoid isolated areas at night,இரவில் தனிமைப்படுத்தப்பட்ட பகுதிகளை தவிர்க்கவும்
Telugu,Avoid isolated areas at night,రాత్రి ఒంటరిగా ఉన్న ప్రాంతాలను నివారించండి
Marathi,Avoid isolated areas at night,रात्री वेळी निर्जन भागांपासून दूर रहा
Gujarati,Avoid isolated areas at night,રાતે એકાંત વિસ્તારોમાં જવાનું ટાળો
Kannada,Avoid isolated areas at night,ರಾತ್ರಿ ಏಕಾಂತ ಪ್ರದೇಶಗಳನ್ನು ತಪ್ಪಿಸಿ
Malayalam,Avoid isolated areas at night,രാത്രിയിൽ ഒറ്റപ്പെട്ട പ്രദേശങ്ങൾ ഒഴിവാക്കുക
Punjabi,Avoid isolated areas at night,ਰਾਤ ਨੂੰ ਇਕਾਂਤ ਖੇਤਰਾਂ ਤੋਂ ਬਚੋ
English,Call emergency services,Call emergency services
Hindi,Call emergency services,आपातकालीन सेवाओं को कॉल करें
Bengali,Call emergency services,জরুরী পরিষেবা কল করুন
Tamil,Call emergency services,அவசர சேவைகளை அழைக்கவும்
Telugu,Call emergency services,అత్యవసర సేవలను కాల్ చేయండి
Marathi,Call emergency services,आपत्कालीन सेवांना कॉल करा
Gujarati,Call emergency services,આપાતકાલીન સેવાઓને કોલ કરો
Kannada,Call emergency services,ತುರ್ತು ಸೇವೆಗಳನ್ನು ಕರೆಮಾಡಿ
Malayalam,Call emergency services,അടിയന്തര സേവനങ്ങളെ വിളിക്കുക
Punjabi,Call emergency services,ਐਮਰਜੈਂਸੀ ਸੇਵਾਵਾਂ ਨੂੰ ਕਾਲ ਕਰੋ
English,Stay on marked trails,Stay on marked trails
Hindi,Stay on marked trails,चिह्नित रास्तों पर रहें
Bengali,Stay on marked trails,চিহ্নিত পথগুলিতে থাকুন
Tamil,Stay on marked trails,குறிப்பிடப்பட்ட பாதைகளில் இருங்கள்
Telugu,Stay on marked trails,మార్క్ చేసిన మార్గాల్లో ఉండండి
Marathi,Stay on marked trails,चिन्हांकित मार्गांवर रहा
Gujarati,Stay on marked trails,ચિહ્નિત માર્ગ પર રહો
Kannada,Stay on marked trails,ಗುರುತಿಸಲಾದ ಹಾದಿಗಳಲ್ಲಿ ಇರಿ
Malayalam,Stay on marked trails,അടയാളപ്പെടുത്തിയ പാതകളിൽ തുടരുക
Punjabi,Stay on marked trails,ਨਿਰਧਾਰਤ ਟ੍ਰੇਲਾਂ ਤੇ ਰਹੋ
English,Keep valuables secure,Keep valuables secure
Hindi,Keep valuables secure,कीमती सामान सुरक्षित रखें
Bengali,Keep valuables secure,মূল্যবান জিনিসপত্র সুরক্ষিত রাখুন
Tamil,Keep valuables secure,மதிப்புள்ள பொருட்களை பாதுகாப்பாக வைத்திருக்கவும்
Telugu,Keep valuables secure,విలువైన వస్తువులను భద్రపరచండి
Marathi,Keep valuables secure,किंमती वस्तू सुरक्षित ठेवा
Gujarati,Keep valuables secure,કિંમતી વસ્તુઓ સુરક્ષિત રાખો
Kannada,Keep valuables secure,ಮೊತ್ತದ ವಸ್ತುಗಳನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇಡಿ
Malayalam,Keep valuables secure,വിലപ്പെട്ട വസ്തുക്കൾ സുരക്ഷിതമായി സൂക്ഷിക്കുക
Punjabi,Keep valuables secure,ਕੀਮਤੀ ਸਮਾਨ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖੋ
English,Inform someone of your plans,Inform someone of your plans
Hindi,Inform someone of your plans,अपनी योजनाओं के बारे में किसी को बताएं
Bengali,Inform someone of your plans,আপনার পরিকল্পনা কারওকে জানান
Tamil,Inform someone of your plans,உங்கள் திட்டங்களை யாராவது ஒருவரிடம் தெரிவிக்கவும்
Telugu,Inform someone of your plans,మీ యోజనల గురించి ఎవరికైనా తెలియజేయండి
Marathi,Inform someone of your plans,आपल्या योजना कोणाला तरी सांगा
Gujarati,Inform someone of your plans,તમારી યોજનાઓ વિશે કોઈને જાણ કરો
Kannada,Inform someone of your plans,ನಿಮ್ಮ ಯೋಜನೆಗಳನ್ನು ಯಾರಿಗಾದರೂ ತಿಳಿಸಿ
Malayalam,Inform someone of your plans,നിങ്ങളുടെ പദ്ധതിയെക്കുറിച്ച് ആരെയെങ്കിലും അറിയിക്കൂ
Punjabi,Inform someone of your plans,ਆਪਣੀਆਂ ਯੋਜਨਾਵਾਂ ਬਾਰੇ ਕਿਸੇ ਨੂੰ ਦੱਸੋ
English,Carry identification,Carry identification
Hindi,Carry identification,पहचान पत्र साथ रखें
Bengali,Carry identification,পরিচয়পত্র সঙ্গে রাখুন
Tamil,Carry identification,அடையாள அட்டை உடன் எடுத்துச் செல்லவும்
Telugu,Carry identification,పరిచయ పత్రం తీసుకెళ్ళండి
Marathi,Carry identification,ओळखपत्र सोबत ठेवा
Gujarati,Carry identification,ઓળખપત્ર સાથે રાખો
Kannada,Carry identification,ಗುರುತಿನ ಚೀಟಿಯನ್ನು ಕರೆದೊಯ್ಯಿರಿ
Malayalam,Carry identification,ഐഡന്റിഫിക്കേഷൻ കൊണ്ടുപോകുക
Punjabi,Carry identification,ਪਛਾਣ ਪੱਤਰ ਨਾਲ ਰੱਖੋ
English,Respect local customs,Respect local customs
Hindi,Respect local customs,स्थानीय रीति-रिवाजों का सम्मान करें
Bengali,Respect local customs,স্থানীয় রীতিনীতি সম্মান করুন
Tamil,Respect local customs,உள்ளூர் பழக்கவழக்கங்களை மதிக்கவும்
Telugu,Respect local customs,స్థానిక ఆచారాలను గౌరవించండి
Marathi,Respect local customs,स्थानिक प्रथांचा आदर करा
Gujarati,Respect local customs,સ્થાનિક રિવાજોનું આદર કરો
Kannada,Respect local customs,ಸ್ಥಳೀಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಗೌರವಿಸಿ
Malayalam,Respect local customs,പ്രാദേശിക ആചാരങ്ങളെ മാനിക്കുക
Punjabi,Respect local customs,ਸਥਾਨਕ ਰਿਵਾਜਾਂ ਦਾ ਆਦਰ ਕਰੋ
English,Beware of wildlife,Beware of wildlife
Hindi,Beware of wildlife,वन्यजीव से सावधान रहें
Bengali,Beware of wildlife,বন্যপ্রাণী থেকে সতর্ক থাকুন
Tamil,Beware of wildlife,விலங்குகளிலிருந்து எச்சரிக்கையுடன் இருங்கள்
Telugu,Beware of wildlife,అడవి జంతువుల పట్ల జాగ్రత్తగా ఉండండి
Marathi,Beware of wildlife,वन्यजीवांपासून सावध राहा
Gujarati,Beware of wildlife,વન્યજીવનથી સાવચેત રહો
Kannada,Beware of wildlife,ವನ್ಯಜೀವಿಗಳ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದಿರಿ
Malayalam,Beware of wildlife,വന്യജീവികളോട് ജാഗ്രത കാണിക്കുക
Punjabi,Beware of wildlife,ਜੰਗਲੀ ਜੀਵਨ ਤੋਂ ਸਾਵਧਾਨ ਰਹੋ
English,Check weather updates,Check weather updates
Hindi,Check weather updates,मौसम अपडेट जांचें
Bengali,Check weather updates,আবহাওয়া আপডেট চেক করুন
Tamil,Check weather updates,வானிலை புதுப்பிப்புகளை சரிபார்க்கவும்
Telugu,Check weather updates,వాతావరణ నవీకరణలను తనిఖీ చేయండి
Marathi,Check weather updates,हवामान अपडेट तपासा
Gujarati,Check weather updates,હવામાન અપડેટ તપાસો
Kannada,Check weather updates,ಹವಾಮಾನ ನವೀಕರಣಗಳನ್ನು ಪರಿಶೀಲಿಸಿ
Malayalam,Check weather updates,കാലാവസ്ഥാ അപ്‌ഡേറ്റുകൾ പരിശോധിക്കുക
Punjabi,Check weather updates,ਮੌਸਮ ਅੱਪਡੇਟ ਦੀ ਜਾਂਚ ਕਰੋ
English,Use licensed guides,Use licensed guides
Hindi,Use licensed guides,लाइसेंस प्राप्त गाइड का उपयोग करें
Bengali,Use licensed guides,লাইসেন্সপ্রাপ্ত গাইড ব্যবহার করুন
Tamil,Use licensed guides,உரிமம் பெற்ற வழிகாட்டிகளைப் பயன்படுத்தவும்
Telugu,Use licensed guides,లైసెన్స్ పొందిన గైడ్లను ఉపయోగించండి
Marathi,Use licensed guides,परवानाधारक मार्गदर्शक वापरा
Gujarati,Use licensed guides,લાઇસન્સ ધરાવતા માર્ગદર્શકોનો ઉપયોગ કરો
Kannada,Use licensed guides,ಪರವಾನಗಿ ಪಡೆದ ಮಾರ್ಗದರ್ಶಕರನ್ನು ಬಳಸಿ
Malayalam,Use licensed guides,ലൈസൻസ് ലഭിച്ച ഗൈഡുകൾ ഉപയോഗിക്കുക
Punjabi,Use licensed guides,ਲਾਇਸੈਂਸ ਪ੍ਰਾਪਤ ਮਾਰਗਦਰਸ਼ਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰੋ
English,Avoid isolated areas at night,Avoid isolated areas at night
Hindi,Avoid isolated areas at night,रात में अलग-थलग क्षेत्रों से बचें
Bengali,Avoid isolated areas at night,রাতে বিচ্ছিন্ন এলাকা এড়িয়ে চলুন
Tamil,Avoid isolated areas at night,இரவில் தனிமைப்படுத்தப்பட்ட பகுதிகளை தவிர்க்கவும்
Telugu,Avoid isolated areas at night,రాత్రి ఒంటరిగా ఉన్న ప్రాంతాలను నివారించండి
Marathi,Avoid isolated areas at night,रात्री वेळी निर्जन भागांपासून दूर रहा
Gujarati,Avoid isolated areas at night,રાતે એકાંત વિસ્તારોમાં જવાનું ટાળો
Kannada,Avoid isolated areas at night,ರಾತ್ರಿ ಏಕಾಂತ ಪ್ರದೇಶಗಳನ್ನು ತಪ್ಪಿಸಿ
Malayalam,Avoid isolated areas at night,രാത്രിയിൽ ഒറ്റപ്പെട്ട പ്രദേശങ്ങൾ ഒഴിവാക്കുക
Punjabi,Avoid isolated areas at night,ਰਾਤ ਨੂੰ ਇਕਾਂਤ ਖੇਤਰਾਂ ਤੋਂ ਬਚੋ
